127.0.0.1 - - [20/Mar/2023:10:02:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/menu/css/menu.css HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/menu/css/font-awesome.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/menu/js/jquery.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/menu/js/function.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/image/uselogo.png HTTP/1.1" 200 28967
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/image/searchicon.png HTTP/1.1" 200 16710
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/image/heart.png HTTP/1.1" 200 9150
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/image/menuicon.png HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/image/cartlogo.png HTTP/1.1" 200 10453
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/image3/banner1.jpg HTTP/1.1" 200 112464
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/image3/banner2.jpg HTTP/1.1" 200 94418
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/image3/banner3.jpg HTTP/1.1" 200 49027
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/image3/banner4.jpg HTTP/1.1" 200 155354
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/image3/%EA%B7%B8%EB%A6%BC1.jpg HTTP/1.1" 200 122265
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/itemImg/57.jpg HTTP/1.1" 200 53877
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/itemImg/58.jpg HTTP/1.1" 200 54313
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/itemImg/59.jpg HTTP/1.1" 200 35897
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/itemImg/60.jpg HTTP/1.1" 200 68337
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/itemImg/61.jpg HTTP/1.1" 200 50325
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/itemImg/62.jpg HTTP/1.1" 200 77531
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/itemImg/63.jpg HTTP/1.1" 200 65889
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/itemImg/64.jpg HTTP/1.1" 200 64606
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:07 +0900] "GET /semiProject/itemImg/65.jpg HTTP/1.1" 200 71358
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/image/arrow_left.png HTTP/1.1" 200 8919
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/66.jpg HTTP/1.1" 200 45049
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/67.jpg HTTP/1.1" 200 39515
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/68.jpg HTTP/1.1" 200 72218
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/48.jpg HTTP/1.1" 200 74477
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/50.jpg HTTP/1.1" 200 129141
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/49.jpg HTTP/1.1" 200 73096
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/51.jpg HTTP/1.1" 200 53183
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/image/arrow_right14.png HTTP/1.1" 200 8893
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/52.jpg HTTP/1.1" 200 58299
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/54.jpg HTTP/1.1" 200 65273
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/55.jpg HTTP/1.1" 200 53835
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/53.jpg HTTP/1.1" 200 53147
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/24.jpg HTTP/1.1" 200 80981
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/2.jpg HTTP/1.1" 200 40486
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/1.jpg HTTP/1.1" 200 33460
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/25.jpg HTTP/1.1" 200 69411
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/26.jpg HTTP/1.1" 200 104935
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/27.jpg HTTP/1.1" 200 110109
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/28.jpg HTTP/1.1" 200 73295
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/29.jpg HTTP/1.1" 200 79408
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/30.jpg HTTP/1.1" 200 60739
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/31.jpg HTTP/1.1" 200 54157
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/index.jsp HTTP/1.1" 200 36745
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/4.jpg HTTP/1.1" 200 66148
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/3.jpg HTTP/1.1" 200 73368
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/8.jpg HTTP/1.1" 200 63797
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/6.jpg HTTP/1.1" 200 46683
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/5.jpg HTTP/1.1" 200 63734
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/itemImg/7.jpg HTTP/1.1" 200 64577
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/image/blog_logo.png HTTP/1.1" 200 23923
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/image/instagram_logo.png HTTP/1.1" 200 31460
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/image/saebyuk.png HTTP/1.1" 200 28186
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:02:08 +0900] "GET /semiProject/image/facebook_logo.png HTTP/1.1" 200 43607
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/menu/css/font-awesome.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/menu/css/menu.css HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/menu/js/jquery.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/menu/js/function.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/image/uselogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/image/heart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/image/cartlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/image/searchicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/image/menuicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/image3/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/image3/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/image3/%EA%B7%B8%EB%A6%BC1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/image3/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/image3/banner4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/31.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/32.jpg HTTP/1.1" 200 69540
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/33.jpg HTTP/1.1" 200 62273
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/48.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/49.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/52.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/51.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/50.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/53.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/54.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/55.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/image/arrow_right14.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/image/arrow_left.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/24.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/56.jpg HTTP/1.1" 200 64829
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/25.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/26.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/27.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/28.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/29.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/30.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/index.jsp HTTP/1.1" 200 36687
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/61.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:03:58 +0900] "GET /semiProject/itemImg/62.jpg HTTP/1.1" 304 -
