127.0.0.1 - - [17/Mar/2023:12:19:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/menu/css/font-awesome.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/menu/css/menu.css HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/menu/js/jquery.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/menu/js/function.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/image/uselogo.png HTTP/1.1" 200 28967
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/image/searchicon.png HTTP/1.1" 200 16710
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/image/heart.png HTTP/1.1" 200 9150
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/image/cartlogo.png HTTP/1.1" 200 10453
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/image/menuicon.png HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/image3/banner1.jpg HTTP/1.1" 200 112464
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/image3/banner2.jpg HTTP/1.1" 200 94418
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/image3/banner3.jpg HTTP/1.1" 200 49027
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/image3/banner4.jpg HTTP/1.1" 200 155354
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/image3/%EA%B7%B8%EB%A6%BC1.jpg HTTP/1.1" 200 122265
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/50.jpg HTTP/1.1" 200 129141
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/51.jpg HTTP/1.1" 200 53183
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/53.jpg HTTP/1.1" 200 53147
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/49.jpg HTTP/1.1" 200 73096
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/52.jpg HTTP/1.1" 200 58299
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/54.jpg HTTP/1.1" 200 65273
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/55.jpg HTTP/1.1" 200 53835
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/56.jpg HTTP/1.1" 200 64829
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/57.jpg HTTP/1.1" 200 53877
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/58.jpg HTTP/1.1" 200 54313
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/59.jpg HTTP/1.1" 200 35897
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/60.jpg HTTP/1.1" 200 68337
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/image/arrow_left.png HTTP/1.1" 200 8919
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/image/arrow_right14.png HTTP/1.1" 200 8893
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/48.jpg HTTP/1.1" 200 74477
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/25.jpg HTTP/1.1" 200 69411
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/24.jpg HTTP/1.1" 200 80981
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/26.jpg HTTP/1.1" 200 104935
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/28.jpg HTTP/1.1" 200 73295
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/27.jpg HTTP/1.1" 200 110109
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 36771
0:0:0:0:0:0:0:1 - - [17/Mar/2023:12:19:32 +0900] "GET /SemiProject/itemImg/29.jpg HTTP/1.1" 200 79408
