127.0.0.1 - - [26/Mar/2023:16:14:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/menu/css/font-awesome.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/menu/css/menu.css HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/menu/js/jquery.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/menu/js/function.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/iconSource/all.min.js HTTP/1.1" 200 1472380
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/iconSource/all.min.css HTTP/1.1" 200 102033
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/image/uselogo.png HTTP/1.1" 200 28967
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/image/searchicon.png HTTP/1.1" 200 16710
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/image/heart.png HTTP/1.1" 200 9150
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/image/cartlogo1.png HTTP/1.1" 200 10453
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/image/menuicon.png HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/webfonts/fa-solid-900.ttf HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/image3/banner3.jpg HTTP/1.1" 200 49027
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/image3/%EA%B7%B8%EB%A6%BC1.jpg HTTP/1.1" 200 122265
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/image3/banner1.jpg HTTP/1.1" 200 112464
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/image3/banner2.jpg HTTP/1.1" 200 94418
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/itemImg/9.jpg HTTP/1.1" 200 38589
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/itemImg/24.jpg HTTP/1.1" 200 80981
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/image/cart.png HTTP/1.1" 200 25162
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/image3/banner4.jpg HTTP/1.1" 200 155354
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/itemImg/25.jpg HTTP/1.1" 200 69411
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/itemImg/28.jpg HTTP/1.1" 200 73295
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/itemImg/29.jpg HTTP/1.1" 200 79408
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/itemImg/26.jpg HTTP/1.1" 200 104935
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/itemImg/27.jpg HTTP/1.1" 200 110109
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/itemImg/30.jpg HTTP/1.1" 200 60739
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/itemImg/31.jpg HTTP/1.1" 200 54157
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/itemImg/33.jpg HTTP/1.1" 200 62273
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/itemImg/32.jpg HTTP/1.1" 200 69540
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/itemImg/48.jpg HTTP/1.1" 200 74477
0:0:0:0:0:0:0:1 - - [26/Mar/2023:16:14:27 +0900] "GET /semiProject/image/arrow_left.png HTTP/1.1" 200 8919
