127.0.0.1 - - [14/Mar/2023:09:08:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:16 +0900] "GET /SemiProject/layout/main.jsp HTTP/1.1" 200 6056
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:16 +0900] "GET /SemiProject/image3/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:16 +0900] "GET /SemiProject/image3/banner2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:16 +0900] "GET /SemiProject/image3/banner4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:16 +0900] "GET /SemiProject/image3/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:16 +0900] "GET /SemiProject/itemImg/0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:16 +0900] "GET /SemiProject/image3/banner5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:16 +0900] "GET /SemiProject/itemImg/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:16 +0900] "GET /SemiProject/itemImg/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:16 +0900] "GET /SemiProject/itemImg/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:08:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:09:07 +0900] "GET /SemiProject/layout/main.jsp HTTP/1.1" 200 6073
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:09:24 +0900] "GET /SemiProject/layout/main.jsp HTTP/1.1" 200 6069
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:09:50 +0900] "GET /SemiProject/layout/main.jsp HTTP/1.1" 200 6056
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:10:40 +0900] "GET /SemiProject/layout/main.jsp HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:10:41 +0900] "GET /SemiProject/layout/main.jsp HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:10:42 +0900] "GET /SemiProject/layout/main.jsp HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:10:42 +0900] "GET /SemiProject/layout/main.jsp HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:10:43 +0900] "GET /SemiProject/layout/main.jsp HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:10:49 +0900] "GET /SemiProject/layout/main.jsp HTTP/1.1" 200 6077
0:0:0:0:0:0:0:1 - - [14/Mar/2023:09:10:50 +0900] "GET /SemiProject/layout/main.jsp HTTP/1.1" 200 6077
