127.0.0.1 - - [10/Mar/2023:15:53:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:53:15 +0900] "GET /SemiProject/footer.jsp HTTP/1.1" 200 3250
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:53:16 +0900] "GET /SemiProject/img/kurly_logo_gray.png HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:53:16 +0900] "GET /SemiProject/img/facebook_logo.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:53:16 +0900] "GET /SemiProject/css/reset.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:53:16 +0900] "GET /SemiProject/img/blog_logo.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:53:16 +0900] "GET /SemiProject/img/instagram_logo.png HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:53:16 +0900] "GET /SemiProject/css/footer.css HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:58:28 +0900] "GET /SemiProject/footer.jsp HTTP/1.1" 200 3250
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:58:29 +0900] "GET /SemiProject/css/reset.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:58:29 +0900] "GET /SemiProject/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:58:29 +0900] "GET /SemiProject/img/instagram_logo.png HTTP/1.1" 200 31460
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:58:29 +0900] "GET /SemiProject/img/facebook_logo.png HTTP/1.1" 200 43607
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:58:29 +0900] "GET /SemiProject/img/blog_logo.png HTTP/1.1" 200 23923
0:0:0:0:0:0:0:1 - - [10/Mar/2023:15:58:29 +0900] "GET /SemiProject/img/kurly_logo_gray.png HTTP/1.1" 200 6357
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:03:21 +0900] "GET /SemiProject/footer.jsp HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:03:21 +0900] "GET /SemiProject/css/reset.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:03:21 +0900] "GET /SemiProject/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:03:21 +0900] "GET /SemiProject/img/facebook_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:03:21 +0900] "GET /SemiProject/img/blog_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:03:21 +0900] "GET /SemiProject/img/instagram_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:16:03:21 +0900] "GET /SemiProject/img/kurly_logo_gray.png HTTP/1.1" 304 -
