,item_num,rivew,rivew_date
0,0,자주주문해요~~~~~~~~,2023.03.08
1,1,기대해봅니다 ~~~~~~,2023.03.09
2,1,심심할때 간식으로,2023.03.09
3,2,된장찌개에 꽃게 들어가면 완벽!!,2023.03.09
4,2,크기가 작은 꽃게이지만 살도 착있고 맛있네요,2023.03.08
5,2,냉동이지만 살도 제법있고 손질꽃게라 편해요,2023.03.08
6,3,처음주문하는데 된장찌개에 넣으려고 샀어요.,2023.03.09
7,3,물과 같이 들어 중량이 어떡해 되는지 모르겠어요,2023.03.09
8,3,해물찜 하려고 구매했는데 톡톡 거리는게 맛있어요 처음,2023.03.08
9,3,따로 봉투에 얼음팩에 신경써서 보낸 느낌,2023.03.08
10,4,아구찜 훌륭하게 잘 만둘어 먹었어요,2023.03.08
11,4,미더덕이랑 오만둥이가 무슨 차이인가 싶어서 둘다 구매해봤어요 봉지뜯으니까 약간 상했나 싶음 냄새가 좀나서 걱정했는데 요리했더니 톡톡 터지는게 맛있어요!,2023.03.08
12,4,된장찌개 하려규 샀어요 사이즈는 제각각이에용 엄청 작은것도 있음,2023.03.08
13,4,"싱싱하고 된장찌게에
넣으니 향이 너무 좋아요",2023.03.08
14,5,"저는 어릴때부터 멍게, 미더덕을 참 좋아해서 집에서 멍미라고 부른 적도 있었는데 뭥미?라는 유행어가 생겼을 때 엄마랑 얘기하며 한참 웃었네요ㅎ

그랬던 제가, 미더덕은 예전 그대로인데 멍게는 그 어디서 먹어도 그 맛이 아니고 짜기만 해서 안 먹게 되었어요.
주산지인 통영을 가서 먹어도 별로더라구요.

그런데, 작년 주문진에서 회를 시켰더니 곁들이 찬으로 멍게가 나왔는데 주인분이 이건 그냥 멍게가 아니라 돌멍게라는 건데 비싼 거라며 한 번 먹어보라는 겁니다.

오~ 깜짝 놀랐습니다.
세상에 이런 멍게맛이?
결사코 안 먹겠는다는 멍게 싫어하는 남편한테 억지로 하나 먹였더니 눈이 땡그래지며 오잉? 되게 달고 맛있네??

짠기 하나없이 어찌나 달큼하고 부드럽던지..
그때부터 돌멍게는 파는 곳을 못찾아서 패스하고, 그냥 멍게라도 다시 먹고싶어서 몇 번을 사봤는데 역시..더라구요.

그래서 혹시나 컬리에서 돌멍게를 찾아봤더니 있긴한데 그건 손질을 요하고, 상품평도 손질때문에 어렵다는 글이 많아서 포기하고 요걸로 사봤는데요...

뜯자마자 향이 화악~ 퍼지는 거예요.
오 냄새는 합격!
소쿠리에서 살살 흔들어 씻어서 짠기를 확인하는데 정말 너무너무 맛있는 거 있죠?
짠기 하나없고 달큼한 것이 바다의 맛있는 것만 머금고 있는 옛날 그 멍게맛이었습니다.
주문진 돌멍게 안녕~~ㅎ
사실 돌멍게만큼은 아니지만 이 가격에 편리함까지 생각하면 감사할따름입니다.
 
멍미가 오랜만에 맛있는 멍게를 먹어서 너무 기쁜 마음에 글이 길어졌네요ㅜ

사랑합니다 컬리~♡♡

*삼삼물산이란 회사와 단독 계약하셨나봐요.
컬리에서만 판매하네요^^",2023.02.25
15,5,그냥 생각보다 덜신선,2023.03.09
16,5,맛있어요 향긋하고 ㅠㅠ 멍게 최고,2023.03.09
17,5,비빔밥해서 엄청 맛있게 먹었어요 향긋해요,2023.03.09
18,5,알도 굵고 싱싱하니 좋네요,2023.03.09
19,5,싱싱하고 깔끔하네요. 비밤밥만들어 맛있게 먹었어요.,2023.03.09
20,5,먹을만했어요~~~~~,2023.03.09
21,5,"역시나 맛있어요
야식으로 한봉지 또 클리어",2023.03.09
22,5,신선하고 맛있는 통영멍게,2023.03.09
23,5,비빕밥이나 초고추장에 찍어 먹어요,2023.03.09
24,6,"엄마 세꼬시 좋아하셔서 사드렸어요 
아침으로 드시네요",2023.03.09
25,6,"너무작아여 ㅋㅋ
맛잇어요",2023.03.08
26,6,"도다리세꼬시를 팔 줄이야ㅎㅎ
신선해요",2023.03.08
27,6,"앞으로 수산물은 먹으면 안되는데, 이거 어쩌죠. 넘 맛있어서 ㅠ
달큰한 맛이 정말 넘 맛있었어요. 우리집 아이두놈도 고양이눈 감추듯 먹더라구요.",2023.03.08
28,6,"생각보다 신선했어요~도다리세꼬시 다넣고 국수 삶아서 양배추,상추,양념장 넣고 참기름 몇방울 톡톡 해서 비빔 회국수 해먹었는데 맛있네요~^^",2023.03.08
29,6,봄에 어울리는 회네요,2023.03.08
30,6,아침에 배달이 와서 신선하고 맛있어요,2023.03.08
31,6,도다리 세꼬시 맛있다고 해서 구매해요,2023.03.08
32,6,후기 좋길래 구매해봅니다,2023.03.08
33,6,"기대안하고 샀는데 맛있어요 
비리지도 않고 신선해요 !!",2023.03.07
34,7,"계란넣고 명랑넣고 비벼먹으려구요
덕화명란이 짜지않고 좋지요",2023.03.09
35,7,딱 간편함 파수타햐먹어야지,2023.03.09
36,7,용도별로 사용할 수 있어 좋아요,2023.03.09
37,7,할인해서 너무 좋아요^^,2023.03.08
38,7,음 생각보다 양이 적네요,2023.03.07
39,7,신선하게 잘 포장되었어요,2023.03.07
40,7,명란 좋아요 반반이라 편하네용,2023.03.07
41,7,명란 계란밥 아이가 좋아해여,2023.03.07
42,7,행사해서 주문했는데 유통기한이 길지않아 일단 냉동실에 넣었네요. 양도 적어서 행사가도 비싼 듯 합니다.,2023.03.07
43,7,사용하기 편리할거 같아서,2023.03.06
44,8,후기가 좋아서 구입했습니다.,2023.03.08
45,8,"싱싱하네요~ 
쑥이 없어서 함께 구매한 냉이넣고
국 끓여 먹었어요.
남편이 잘먹네요",2023.03.08
46,8,"봄에는 도다리 쑥국.
손질이 잘 되어 있지만 비늘은 더 긁어서 씻어야 될거예요. 아쉽게도 알은 없어요.",2023.03.08
47,8,"2마리라고 하기에는 애매해요
한마리는 정상적인크기이나 밑에 깔려있는 한마리는 반만한 크기입니다",2023.03.08
48,8,한마리는 너무 얇고 한마리는 거의 대부분 알이었어요,2023.03.07
49,8,핏물빼니 비린맛없어요 싱싱해요,2023.03.07
50,8,한살림쑥을사왔기에컬리토다리냉장용으로구입해토다리쑥국~아맛나게먹었어요두마리중간싸이즈신선하고두식구먹기에충분했어요,2023.03.07
51,8,구이로 해 먹었는데 너무 부드럽고 녹듯이 들어가네요.,2023.03.06
52,8,봄도다리. 무 넣고 조렸어요. 살이 부드러워요. 봄엔 도다리!,2023.03.05
53,8,도다리 쑥국으로. 넉넉하게 끓였어요. 고명은 고수로.,2023.03.05
54,10,이렇게 맛있을수 있는지 너무 맛있게 잘먹고 있습니다.,2023.03.09
55,10,노르웨이 고등어 맛있는데 좀 작은 사이즈라 아쉽습니다.,2023.03.08
56,10,고등어 6봉 들어 있어요. 크기가 노르웨이 고등어 평고 먹던 것보다 훨씬 작긴 한데 맛은 있어요.,2023.03.06
57,10,새벽에 신선하게 배송받아서 맛있게 먹었습니다.,2023.03.04
58,10,비린내가 적고 담백하게 먹기 좋아요,2023.03.03
59,11,맛있어요 세일 자주 하길,2023.03.08
60,11,맥주 안주로 좋아요,2023.03.08
61,11,맥주 안주로 제격입니다,2023.03.08
62,11,추천입니다. 맛 좋아요.,2023.03.08
63,11,맛있어요~ 풀무원이라 믿음직,2023.03.08
64,11,콘소메 맛있어서 이것도 주문해봐요,2023.03.08
65,11,"할라피뇨는 맛은 좋은데,향은 별루~",2023.03.08
66,11,"풀무원
콘소메 옥수수맛 좋아요",2023.03.08
