,item_num,rivew,rivew_date
67,11,풀무원 전통부각 맛있어 재주문,2023.03.08
68,11,"과자같고 매콤하니 너무 맛나요
간식용으로 좋아요",2023.03.07
69,12,맛있어요 바지락살 생미역국,2023.03.07
70,12,2틀동안 잘먹었습니다 미역도 싱싱하니 맛잇네여,2023.03.06
71,12,아..찝찝!! 바지락에서 물이 다 새서 왔어요 후기에도 많던데 개선이 안되네요,2023.03.06
72,12,두개 샀어요~양은 적은데 미역도 바지락도 맛있어서 자꾸 생각나요~오래끓임 더 맛있어져요~,2023.03.06
73,12,신상이라 소고기 미역국보다 맛있겠다 하고 구매했는데 넘 맛있어서 바로 2개 주문해요~,2023.03.06
74,12,"1인분정도 될듯
생미역이라 부드럽고 바지락살이 실하고 맛익어요",2023.03.05
75,12,"완제품이 아니네요... 그건 제대로 살펴보지 않은 제 잘못이지만, 상품명에 밀키트라고 표시하면 더 좋을 것 같아요. 미역 봉지가 제대로 봉인되지 않아서 겉봉투 뜯을 때 물을 온통 쏟았는데, 비린내가 심해서 온 집에 진동하더라고요... 다른 분들은 비린내 안 났는지 궁금해요. 그래도 끓이긴 했는데 미역 냄새가 안 좋아서 입에 넣을 엄두가 안 났어요.",2023.03.05
76,12,"오~~
미역이 오돌오돌 하네욧. 바지락이라 고기보다 개운허고 전복도 넣으니 더 존맛 재구매 의사 있어욧",2023.03.04
77,12,큰 기대 안 했는데 미역도 맛있고 바지락도 싱싱하네요 해감도 잘 돼 있어요 국간장이란 소금 섞어서 간 했는데 소금으로만 하는 게 깔끔하고 더 맛있을 것 같아요,2023.03.04
78,12,완제품인줄 알고 샀어요 나쁘지않아요,2023.03.03
79,13,이렇게 맛있을수 있는지 너무 맛있게 잘먹고 있습니다.,2023.03.09
80,13,맛있어요 많이 달아요,2023.03.08
81,13,짭짤하니 밥반찬으로 좋아요,2023.03.06
82,13,반찬으로 좋아요~~~,2023.03.06
83,13,양념이 많아서 달닳황태무침임저는 개인적으로 더나은것같아요,2023.03.06
84,13,맛있어서 재구매했어요,2023.03.05
85,13,맛 좋고 품질 좋습니다. 적극 추천합니다.32,2023.03.05
86,13,첫구매 맛있을거 같아 구매,2023.03.05
87,13,일반적으로 먹던 황태 무침을 생각하고 구매하였는데 이제껏 느끼지 못한 신선하고 달콤한 맛이 있네요. 다른 반찬 필요없이 김치에 이 달콤 황태 무침하나로도 한끼 든든하게 해결입니다. 자주 구매할게요!,2023.03.04
88,13,황태에 달달맛이.흡수되서 밑반찬으로 딱,2023.03.04
89,14,"먹고 장염 왔어요 이거 위생 확인해봐야할 것 같아요
맛은 있었어요~",2023.03.09
90,14,냉동에 유통기한 아주 넉넉하네요. 와~ 맛이 너무 좋아요. 담에 또 구매하려구요,2023.03.09
91,14,오~생각보다 맛있엇어요~적당히 맵콤하구 냉동보관인데두 꺼내놓음 부드러워짐 요새조금씩 꺼내서 먹고있음~,2023.03.08
92,14,"신상에 있길래 오랜만에 황태 무침이 먹고 싶어서 주문했어요. 기대됩니다.
플라스틱 통 안에 따로 비닐로 담아져 있어서 플라스틱 통은 다른 통으로 활용하고 있어요.",2023.03.07
93,14,"그냥 그랬어요 쫄깃한 맛이 하니라
부드러운 황태에 고추장 양념만
텁텁하게 잔뜩묻힌맛이예요 ㅠ",2023.03.07
94,14,"맛잇어서
재궁새
매콤하고..다 아는양념맛
통통하고
살집이많아요
가시도꾀잇구요
그냥 으적으적씹어먹을수잇어요.ㅎㅎㅎ",2023.03.06
95,14,맛나게먹겠습니다 꾸벅,2023.03.06
96,14,괜찮아요 아주 맛나는건아니지만...,2023.03.06
97,14,양념이 많아서 달닳황태무침임저는 개인적으로 더나은것같아요,2023.03.06
98,14,양념이 골고루 안 무쳐있고 따딱하고 재주문은 노노,2023.03.06
99,15,"예약일에 맞춰 도착했어요
일단 넘 깨끗해요 
그리고 상상 합니다 
모두 살아 있나봐요 
다듬을때 굴눈 ? 여튼 붙어있는 그부위만 자르면잘열려요
저도 손질은 처음이라 유튭보고 했어요
미뇨네뜨 소수랑 먹으니 넘 맛나요
초장이랑은 안맞던데 소스도 한몫했어요

일단 신선해요 또시켜먹고 싶어 고민중이요 저눈 칼은 있거든요
상품만은 안될까요",2023.03.06
100,15,"평소에 굴을 좋아해서 주문해봤는데 입안가득 꽉차게 씹히는 식감과 굴향이 너무 좋아요. 고급스러운 굴맛을 보고 싶다면^^
그리고 굴까기 어려울꺼라 생각했는데 보내주신 칼이 있어서 어렵지않게 깔수있었어요~~",2023.02.26
101,15,오마카세맛나요~칼도 들어있고 넘나 좋아요,2023.02.24
102,15,"통영의 싱싱한 굴을 집에서 편하게 먹을수 있게 해주셔서 정말 감사할따름???? 향이 미쳤어요!
입안에서 향이 쫙 퍼지면서 탱글탱글 통통하고 싱싱한 굴을 맛볼수 있었어요~????
신랑이 굴을 워낙 좋아해서 주문했는데 까는게 힘들까 싶었는데 함께 동봉된 나이프가 있어서 너무 좋네요~
선물용으로도 굉장히 좋을 것 같습니다~",2023.02.18
103,16,요게 입맛에 더 맞아요 청양고추는 맛있지만 자꾸 기침이 나오는 매운향? 이라 이게 먹기 편하고 맛있어요,2023.03.09
104,16,세가지 맛 중에 제일 맛이 좋아요,2023.03.08
105,16,맥주 안주로 적당히 좋아요,2023.03.08
106,16,아주 매운맛 좋아하는 분들께 추천,2023.03.08
107,16,먹을만한데 양이 적은거 같아요,2023.03.08
108,16,그럭저럭 맛있어요..,2023.03.08
109,16,편의점보다는 저렴해서 구매,2023.03.08
110,16,첫 주문인데 은근 맵네요 ㅋ 계속 기침이 나와옷 ㅎ,2023.03.08
111,16,"생각보다 양이 넘적어요
맛은있음 ㅎㅎ",2023.03.07
112,16,강추! 마요네즈 찍어먹으면 더 맛있어요,2023.03.07
113,17,대하 진짜 큽니다.예전에 서해쪽가서 먹었던 자연산대하맛이 생각나서 샀는데 역시나 달아요~,2023.03.08
114,17,반나절 냉장해동 했는데 비린내가 좀 많이 나긴했지만 괜찮았어요. 크기도 크고 좋아요.,2023.03.08
115,17,"제철인 대하 먹고싶어서 시켰습니다 크기가 장난 아니네요 버터구이할려고 손질하면서 찍었습니다.
후기가 좋아서 시켰는데 담에
캠핑깔때두 간편하게 구워먹게 사가야겠어요",2023.03.07
116,17,진짜 신선하고 맛있어요!,2023.03.06
117,17,"너무커요
ㅠ부담스러울정도로",2023.03.06
118,17,후기가 좋아서 구매했는데…냉동상태가 좋게 배달됐네요!,2023.03.06
119,17,맛있는데 세일하길래 주문했습니다,2023.03.06
120,17,소금구이 해먹겠어요,2023.03.06
121,17,정말 강추입니다~ 정말 커요!!,2023.03.04
122,17,자연산이라 좋아요,2023.03.04
123,18,제 입맛엔 별로 ㅋㅋ 라면 끓일때 넣어볼까 생각중,2023.03.02
124,18,좋아요:::::::,2023.03.02
125,18,좀 뻑뻑했습니다ㅠ수육이랑 먹었는데 맛은 있었어요!!,2023.02.28
126,18,돼지고기수육에 곁들여 먹으니 좋네요,2023.02.28
127,18,"와 양념새우젓은 어떤 맛일까 궁금하기도 해서 주문 했는데 이거 참 맛나요 ㅎㅎㅎㅎ
참기름을 좋아해서 명란젓 먹듯이 살짝 부려서 밥위에 얹어 먹었더니 넘나 맛있어요!
오징어젓갈 명란젓 처럼 따뜻한 밤에 올려먹음 밥도둑이요 환상에 조합이랍니당. 입맛 없을 때 짭조름하고 양념이 부담되지 않을거 같아요.

다 먹음 재구매 할 의사 있어용!!",2023.02.22
128,18,"음..고춧가루범벅이라고나할까ㅠ
비리거나맛이나쁘진않은거같은데고춧가루젓이아닌지",2023.02.20
129,18,너무 고춧가루 범벅이네요..윤기도 없도 퍽퍽한 느낌이…,2023.02.18
130,18,"양념새우젓을 좋아해서 사봤는데 고춧가루가 너무 많고 새우는 너무 잘아서 고춧가루 풋내와 단맛만 나요
입맛 없고 새우젓 양념하기 귀찮아서 샀다가 망했네요",2023.02.17
131,18,보쌈해서 먹어보려구요 ㅎㅎ,2023.02.16
132,18,새우는 별로없고 양념범벅이예요 ㅠ,2023.02.16
133,19,"바지락 순두부찌개를 좋아라해서
주문해서 다음날 바로 요리해서 먹었는데
우리식구 입맛에 잘 맞네요.
더 맛있게 먹기 위해 전 멸치 디포리 육수를
사용했고 마지막에 계란도 한알 톡!!!
씽씽한 조개도 많이 들어가 있고
조개 해감하는 방법도 친절하게 기재돼 있어
그대로 하니 완전 깔끔하게 잘 먹었습니다.
간편하게 요리해
한끼로 먹기에 너무 좋고
온식구 특히 10대 아들래미가 잘 먹어서
더 기분좋은 든든한 한끼였습니다.",2023.02.13
134,19,오늘 저심 먹으려고 샀어요,2023.03.09
135,19,재구매에요. 얼큰하고 계란까지 넣으면 너무맛나요,2023.03.09
136,19,후기 보고 구입했는데 맛있네요~~ㄷ,2023.03.09
137,19,순두부찌게 맛있어요,2023.03.09
138,19,개인적으로는 조금 비렷어요,2023.03.08
139,19,"음~ 헤감 했지만 모래가…
모래인지 먼지~ 다음에…",2023.03.08
140,19,바지락 깨끚 가끔사먹습니당,2023.03.08
141,19,맛있어요 괜찮아서 자주 주문합니다,2023.03.07
142,19,간편하게 구매 했습니다. 순두부찌개,2023.03.06
143,20,심심할때 짠짠으로 먹기 좋아요 지퍼백이여서 보관도 좋고,2023.03.07
144,20,맛있어요 최애 간식,2023.03.06
145,20,디저트용으로 좋은 듯,2023.03.06
146,20,티비볼때간식용으로주문,2023.03.05
147,20,아직 안 먹어봤는데 기대돼용,2023.03.04
148,20,오징어맛 자꾸 먹게 되요,2023.03.04
149,20,컬리에 파는 다른 어포에 비해 조금 짰어요 그래도 맛있었답니다,2023.03.04
150,20,자꾸만 손이 가는 맛~,2023.03.02
151,20,바삭바삭 맛있어요,2023.03.02
152,20,맛잇어요 맥주안주로 먹엇네요,2023.03.01
153,21,신랑은 비린냄새 난다고 싫어라하고 전 먹어요 짭짤하고 달고 맥주안주 정도로 괜찮아요 쏘쏘~~,2023.03.08
154,21,"양은 많은데...맛이 딱히., 그닥., .별론데...내 입에만 그래요?",2023.03.07
155,21,과자 양이 꽤 먾아요…,2023.03.04
156,21,어포 맛은 있는데 달아요.,2023.03.04
157,21,머거본 제품이여 믿고 구매했습니다!ㅎㅎ,2023.03.04
158,21,단짠단짠. 전 그럭저럭 괘안았는데 식구들은 생각보다 안먹더라구요 힝,2023.03.03
159,21,먹다보면 순삭이에요~,2023.03.02
160,21,맛있는데 상짝살짝매콤?,2023.03.02
161,21,마른 술안주로 적당한 단짠어포입니다.,2023.03.01
162,21,약간 짜긴 한데 맛있어요. 맥주 안주로 괜찮네요ㅎ,2023.02.28
163,22,술안주로 간편해요 좋아요,2023.03.09
164,22,"술안주로 먹으려다, 맥주 한캔 다 먹기전에 끝날듯",2023.03.09
165,22,"한번 먹으면 순삭이에요
달고 짜지 않아서 좋아요",2023.03.09
166,22,꾸이 한통 맛있어요.,2023.03.08
167,22,바삭바삭 씹히는 맛이 정말 맛있어요,2023.03.07
168,22,딱 안주용으로 좋아요!,2023.03.06
169,22,바삭하고 맛있어요 큰통으로 샀는데 양 많아 좋네요,2023.03.05
170,22,간식으로 먹기좋아요. 순간 사라집니다,2023.03.04
171,22,주전부리로 금방 한통 순삭 ㅋㅋ,2023.03.04
172,22,처음 먹어보는데 과자네요,2023.03.04
173,23,아 이거 좀 비려서 다 먹을수가 없어요,2023.03.08
174,23,비싸지만 태국생각나서 ㅜ,2023.03.08
175,23,오우....후기좋아서 샀는데 매운거였어요. 맵찔이는 슬퍼요,2023.03.07
176,23,맵다네요 매운거 라서,2023.03.06
177,23,최애 맥주 안주에요,2023.03.05
178,23,약간 짜요.. 그래도 이만한 맥주 안주가 없어요,2023.03.05
179,23,매콤합니다 땡기는 맛,2023.03.05
180,23,매콤합니다 땡기는 맛,2023.03.05
181,23,매콤하니 땡기는 맛,2023.03.05
182,23,좋아하는 간식이라 종종 시켜먹어요ㅎ 빨간색을 제일 좋아해요,2023.03.05
183,24,맛있어요. 꼬막 좋아하는데 양 많아서 넉넉히 먹을 수 있어서 좋아요. 알은 조금 작아요. 유통기한이 좀 짧긴한데 맛있어서 금방 먹으니 상관없어요.,2023.03.09
184,24,"이틀남은 유통기한 와서 문의했는데
원래 수령일 포함 이틀 남은게 정상이래요. 참고하세요.",2023.03.09
185,24,유통기한이 이틀밖에 안되는 걸 보내면 어떻게 다 먹으라는 거죠? 유통기한이 임박하면 임박하다고 써놔야 하는거 아닌가요? 다른 고객들에게도 이틀밖에 안 남은거 보내나요? 교환도 안된다고 하고 이거 먹다가 이틀지나면 다 버리라는 건가요? 아무튼 유통기한 임박하면 공지로 써놓으세요^^ 다른 고객들한테도 피해 안가게요^^,2023.03.09
186,24,맛있어서 재구매했어요. 양도넉넉해서 2인 2번은먹을수있어요,2023.03.09
187,24,"식구들모두 꼬막비빔밥 맛있게 먹었어요
김가루 대신 상추, 참기름 넣고 비볐는데 너무 맛있네요~",2023.03.09
188,24,맛있어오 좀 달긴한데 많이 짜지않아서 재구매템이예요,2023.03.09
189,24,좀 달지만 비빔밥해먹으니 맛나요,2023.03.08
190,24,꼬막 간단하게 먹기 좋아요! 꼬막이 넘 적음,2023.03.08
191,24,냉동 꼬막장보다 냉장이 확실히 맛있네요,2023.03.08
192,24,유통기한 3일 남은걸 보내주시는게 맞나요?,2023.03.08
