127.0.0.1 - - [13/Mar/2023:09:02:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:02:03 +0900] "GET /bobsajo/login/loginForm.jsp HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:02:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:02:15 +0900] "GET /bobsajo/login/joinForm.jsp HTTP/1.1" 200 4161
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:02:19 +0900] "POST /bobsajo/login/loginAction.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:03:37 +0900] "GET /bobsajo/login/loginForm.jsp HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:03:38 +0900] "GET /bobsajo/login/loginForm.jsp HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:04:24 +0900] "POST /bobsajo/login/loginAction.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:04:34 +0900] "POST /bobsajo/login/loginAction.jsp HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:06:41 +0900] "GET /bobsajo/login/loginForm.jsp HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:06:42 +0900] "GET /bobsajo/login/loginForm.jsp HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:06:42 +0900] "GET /bobsajo/login/loginForm.jsp HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:06:42 +0900] "GET /bobsajo/login/loginForm.jsp HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:06:46 +0900] "POST /bobsajo/login/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:09:06:47 +0900] "GET /bobsajo/login/_mainTest.jsp HTTP/1.1" 200 337
